artist;name
4VMYDCV2IEDYJArk749S6m;Daddy Yankee
6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran
0du5cEVh5yTK9QJze8zA0C;Bruno Mars
1uNFoZAHBGtllmzznpCI3s;Justin Bieber
04gDigrS5kc9YWfZHwBETP;Maroon 5
6jJ0s89eD6GaHleKKya26X;Katy Perry
6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran
06HL4z0CvFAxyc27GXpf02;Taylor Swift
1vyhD5VmyZ7KMfW5gqLgo5;J Balvin
6jJ0s89eD6GaHleKKya26X;Katy Perry
0gadJ2b9A4SKsB1RFkBb66;Passenger
6vWDO969PvNqNYHIOW5v0m;Beyoncé
1vyhD5VmyZ7KMfW5gqLgo5;J Balvin
04gDigrS5kc9YWfZHwBETP;Maroon 5
04gDigrS5kc9YWfZHwBETP;Maroon 5
4dpARuHxo51G3z768sgnrY;Adele
06HL4z0CvFAxyc27GXpf02;Taylor Swift
1r4hJ1h58CWwUQe3MxPuau;Maluma
0EmeFodog0BfCgMzAIvKQp;Shakira
69GGBxA162lTqCwzJG5jLp;The Chainsmokers
6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran
6JL8zeS1NmiOftqZTRgdTz;Meghan Trainor
6MDME20pz9RveH9rEXvrOM;Clean Bandit
3Isy6kedDrgPYoTS1dazA9;Sean Paul
5pKCCKE2ajJHZ9KAiaK11H;Rihanna
5WUlDfRSoLAfcVSX1WnrxN;Sia
1uNFoZAHBGtllmzznpCI3s;Justin Bieber
1i8SpTcr7yvPOmcqrbnVXY;Ozuna
6M2wZ9GZgrQXHCFfjv46we;Dua Lipa
1uNFoZAHBGtllmzznpCI3s;Justin Bieber
1i8SpTcr7yvPOmcqrbnVXY;Ozuna
4VMYDCV2IEDYJArk749S6m;Daddy Yankee
0du5cEVh5yTK9QJze8zA0C;Bruno Mars
1vyhD5VmyZ7KMfW5gqLgo5;J Balvin
1i8SpTcr7yvPOmcqrbnVXY;Ozuna
4gzpq5DPGxSnKTe4SA8HAU;Coldplay
69GGBxA162lTqCwzJG5jLp;The Chainsmokers
66CXWjxzNUsdJxJ2JdwvnR;Ariana Grande
0hCNtLu0JehylgoiP8L4Gh;Nicki Minaj
